0@@<builtin>~1-1:1-1Number.isNaN
6833@@<builtin>~1-1:1-1String.prototype.codePointAt
16147@@<builtin>~1-1:1-1Array.isArray
32851@@<builtin>~1-1:1-1Array.prototype.push
29213@@<builtin>~1-1:1-1Array.prototype.pop
21603@@prettier.js~175290-175290:20469-20507i.match
28470@@prettier.js~482131-482134:33-1getValue
22075@@<builtin>~1-1:1-1RegExp.prototype.get global
21744@@<builtin>~1-1:1-1Function.prototype.call
23980@@<builtin>~1-1:1-1RegExp.prototype.get unicode
38962@@prettier.js~482916-482923:5-5:=>
75158@@prettier.js~479886-479929:15-1index$8
46754@@prettier.js~482904-482915:5-5:=>
34985@@prettier.js~482154-482156:38-1getParentNode
38825@@prettier.js~480891-480900:1-1getStringWidth
43470@@<builtin>~1-1:1-1String.prototype.replace
21171@@/[\u001B\u009B][[\]()#;?]*(?:(...~1-1:1-126regex TRegex fwd: /[\u001B\u009B][[\]()#;?]*(?:(...
22494@@/\uD83C\uDFF4\uDB40\uDC67\uDB4...~1-1:1-7085regex TRegex fwd: /\uD83C\uDFF4\uDB40\uDC67\uDB4...
26410@@prettier.js~493137-493137:5-43:=>
70932@@prettier.js~482136-482148:1-1getNodeHelper
71659@@<builtin>~1-1:1-1RegExp.prototype.exec
93612@@prettier.js~482777-482811:3-3traverseDocRec
30548@@prettier.js~175290-175290:1835-1869c
25837@@<builtin>~1-1:1-1Function.prototype.[Symbol.hasInstance]
31757@@prettier.js~479883-479883:15-89index$4
52344@@prettier.js~175290-175290:21503-21642i.fullCharCodeAtPos
32310@@prettier.js~479769-479771:1-1concat$1
35750@@<builtin>~1-1:1-1RegExp
81145@@<builtin>~1-1:1-1RegExp.prototype.[Symbol.replace]
38373@@prettier.js~479872-479879:15-1index$6
31262@@prettier.js~482150-482152:32-1getNode
17214@@<builtin>~1-1:1-1String.prototype.indexOf
42397@@<builtin>~1-1:1-1Array.prototype.join
17411@@<builtin>~1-1:1-1Map.prototype.has
35437@@prettier.js~175290-175290:17597-17658e.curPosition
55958@@prettier.js~175290-175290:1476-1617o
38292@@prettier.js~175290-175290:20990-21055i.curContext
38572@@prettier.js~175290-175290:13452-13491X
19483@@<builtin>~1-1:1-1Map.prototype.set
33707@@prettier.js~492459-492465:1-1isJSXNode
16718@@<builtin>~1-1:1-1String.prototype.slice
40978@@prettier.js~175290-175290:20408-20459i.eat
24071@@prettier.js~493603-493603:9-61:=>
26380@@<builtin>~1-1:1-1Array.prototype.indexOf
26631@@prettier.js~175290-175290:1210-1244:anonymous
59544@@prettier.js~479934-479965:15-1index$2
26422@@prettier.js~19675-19677:1-1ok
12995@@/\r\n?|\n|\u2028|\u2029/g~1-1:1-25regex TRegex fwd: /\r\n?|\n|\u2028|\u2029/g
13348@@<builtin>~1-1:1-1Array
28189@@prettier.js~488509-488512:1-1hasIgnoreComment
28078@@prettier.js~482837-482846:20-3:=>
19521@@prettier.js~482850-482852:1-1isEmpty$1
12904@@/^[^\S\n]*$/~1-1:1-12regex TRegex fwd: /^[^\S\n]*$/
27552@@prettier.js~175290-175290:13495-13532J
31439@@prettier.js~488514-488521:1-1hasNodeIgnoreComment
30067@@prettier.js~482872-482882:5-5:=>
32612@@prettier.js~482006-482011:1-1prependCursorPlaceholder
32729@@prettier.js~488492-488507:1-1getPrintFunction
11841@@<builtin>~1-1:1-1String.prototype.trim
16273@@/\r\n?|\n|\u2028|\u2029/g~1-1:1-25regex DFA traceFinder: /\r\n?|\n|\u2028|\u2029/g
11978@@/[^\S\n]*$/~1-1:1-11regex TRegex fwd: /[^\S\n]*$/
24134@@prettier.js~482117-482127:32-1getName
24993@@prettier.js~175290-175290:90853-90920i.startNode
32673@@prettier.js~175290-175290:1359-1475n
16333@@<builtin>~1-1:1-1String.prototype.match
33249@@prettier.js~175290-175290:123815-123932i.readToken
33063@@prettier.js~175290-175290:21416-21481i.readToken
22153@@prettier.js~480587-480600:1-1hasClosureCompilerTypeCastComment
25908@@prettier.js~480137-480150:1-1isExportDeclaration
26796@@prettier.js~175290-175290:91064-91154i.finishNode
35834@@prettier.js~175290-175290:23278-23445i.finishToken
36176@@prettier.js~175290-175290:35245-35418i.updateContext
15601@@prettier.js~175290-175290:20521-20544i.isKeyword
42512@@prettier.js~482013-482051:1-1printComments
32234@@prettier.js~175290-175290:17732-17812:anonymous
38304@@prettier.js~175290-175290:35499-35657t
19395@@<builtin>~1-1:1-1RegExp.prototype.[Symbol.match]
29340@@prettier.js~485623-485634:1-1printSubtree
39915@@prettier.js~175290-175290:20123-20400i.next
45447@@prettier.js~488523-488551:1-1hasJsxIgnoreComment
40925@@prettier.js~482163-482176:29-1call
31488@@prettier.js~175290-175290:91171-91285i.finishNodeAt
47353@@prettier.js~493575-493614:3-3printGenerically
38764@@prettier.js~480349-480377:1-1locStart$1
43001@@prettier.js~175290-175290:21069-21402i.nextToken
