0@@<builtin>~1-1:1-1Number.isNaN
6833@@<builtin>~1-1:1-1String.prototype.codePointAt
16147@@<builtin>~1-1:1-1Array.isArray
21910@@<builtin>~1-1:1-1Array.prototype.pop
10872@@<builtin>~1-1:1-1Function.prototype.call
15768@@<builtin>~1-1:1-1RegExp.prototype.get global
7939@@/[\u001B\u009B][[\]()#;?]*(?:(...~1-1:1-126regex TRegex fwd: /[\u001B\u009B][[\]()#;?]*(?:(...
9262@@/\uD83C\uDFF4\uDB40\uDC67\uDB4...~1-1:1-7085regex TRegex fwd: /\uD83C\uDFF4\uDB40\uDC67\uDB4...
21315@@<builtin>~1-1:1-1RegExp.prototype.get unicode
98554@@<builtin>~1-1:1-1Array.prototype.push
43207@@prettier.js~175290-175290:20469-20507i.match
16139@@prettier.js~493137-493137:5-43:=>
56940@@prettier.js~482131-482134:33-1getValue
7219@@<builtin>~1-1:1-1String.prototype.indexOf
7386@@<builtin>~1-1:1-1Map.prototype.has
7691@@<builtin>~1-1:1-1Map.prototype.set
6687@@<builtin>~1-1:1-1String.prototype.slice
45750@@prettier.js~482154-482156:38-1getParentNode
70131@@prettier.js~482916-482923:5-5:=>
21343@@<builtin>~1-1:1-1Function.prototype.[Symbol.hasInstance]
55464@@prettier.js~480891-480900:1-1getStringWidth
29159@@prettier.js~175290-175290:1835-1869c
27339@@prettier.js~479769-479771:1-1concat$1
66654@@<builtin>~1-1:1-1String.prototype.replace
6636@@/\r\n?|\n|\u2028|\u2029/g~1-1:1-25regex TRegex fwd: /\r\n?|\n|\u2028|\u2029/g
33080@@prettier.js~479883-479883:15-89index$4
7230@@<builtin>~1-1:1-1Array
5512@@<builtin>~1-1:1-1String.prototype.trim
6948@@/^[^\S\n]*$/~1-1:1-12regex TRegex fwd: /^[^\S\n]*$/
38398@@<builtin>~1-1:1-1RegExp
116885@@prettier.js~482904-482915:5-5:=>
6189@@/[^\S\n]*$/~1-1:1-11regex TRegex fwd: /[^\S\n]*$/
42342@@prettier.js~479872-479879:15-1index$6
34389@@prettier.js~482150-482152:32-1getNode
19486@@prettier.js~493603-493603:9-61:=>
30250@@prettier.js~492459-492465:1-1isJSXNode
37522@@prettier.js~175290-175290:17597-17658e.curPosition
22699@@<builtin>~1-1:1-1Array.prototype.indexOf
23000@@prettier.js~175290-175290:1210-1244:anonymous
10757@@/\r\n?|\n|\u2028|\u2029/g~1-1:1-25regex DFA traceFinder: /\r\n?|\n|\u2028|\u2029/g
41699@@prettier.js~175290-175290:13452-13491X
15693@@prettier.js~482850-482852:1-1isEmpty$1
44674@@prettier.js~175290-175290:20990-21055i.curContext
154068@@<builtin>~1-1:1-1RegExp.prototype.exec
25274@@prettier.js~19675-19677:1-1ok
94219@@prettier.js~175290-175290:21503-21642i.fullCharCodeAtPos
171729@@prettier.js~482136-482148:1-1getNodeHelper
11994@@<builtin>~1-1:1-1String.prototype.match
63595@@<builtin>~1-1:1-1Array.prototype.join
334795@@prettier.js~479886-479929:15-1index$8
3890@@<builtin>~1-1:1-1String.prototype.repeat
11051@@prettier.js~175290-175290:20521-20544i.isKeyword
29915@@prettier.js~488509-488512:1-1hasIgnoreComment
27552@@prettier.js~175290-175290:13495-13532J
53971@@prettier.js~175290-175290:20408-20459i.eat
30886@@prettier.js~482837-482846:20-3:=>
89534@@prettier.js~175290-175290:1476-1617o
18846@@prettier.js~480587-480600:1-1hasClosureCompilerTypeCastComment
22947@@prettier.js~482117-482127:32-1getName
32254@@prettier.js~482872-482882:5-5:=>
24187@@prettier.js~175290-175290:90853-90920i.startNode
176779@@<builtin>~1-1:1-1RegExp.prototype.[Symbol.replace]
15822@@<builtin>~1-1:1-1RegExp.prototype.[Symbol.match]
36679@@prettier.js~488514-488521:1-1hasNodeIgnoreComment
37271@@prettier.js~482006-482011:1-1prependCursorPlaceholder
9507@@<builtin>~1-1:1-1RegExp.prototype.test
294210@@prettier.js~482777-482811:3-3traverseDocRec
25527@@prettier.js~480137-480150:1-1isExportDeclaration
39046@@prettier.js~488492-488507:1-1getPrintFunction
6409@@prettier.js~481875-481875:44-73:=>
27185@@prettier.js~175290-175290:91064-91154i.finishNode
7500@@prettier.js~479773-479775:1-1indent$1
95270@@prettier.js~479934-479965:15-1index$2
37860@@prettier.js~175290-175290:1359-1475n
37852@@prettier.js~175290-175290:123815-123932i.readToken
37572@@prettier.js~175290-175290:21416-21481i.readToken
13102@@prettier.js~175290-175290:16410-16461e.isReservedWord
8285@@prettier.js~175290-175290:90936-90973i.startNodeAt
1404@@/^(f|x)?(it|describe|test)$/~1-1:1-28regex TRegex fwd: /^(f|x)?(it|describe|test)$/
8108@@/\r\n?|\n|\u2028|\u2029/~1-1:1-24regex TRegex fwd: /\r\n?|\n|\u2028|\u2029/
30483@@prettier.js~485623-485634:1-1printSubtree
5608@@prettier.js~480998-480999:7-80:=>
17761@@prettier.js~482887-482897:1-1breakParentGroup
