0@@<builtin>~1-1:1-1Array.prototype.push
8073@@<builtin>~1-1:1-1Array.isArray
14606@@<builtin>~1-1:1-1Array.prototype.pop
20498@@<builtin>~1-1:1-1String.prototype.codePointAt
27330@@<builtin>~1-1:1-1Number.isNaN
34163@@prettier.js~479886-479929:15-1index$8
28470@@prettier.js~482131-482134:33-1getValue
31204@@prettier.js~482777-482811:3-3traverseDocRec
34565@@prettier.js~175290-175290:20469-20507i.match
35065@@prettier.js~482916-482923:5-5:=>
38962@@prettier.js~482904-482915:5-5:=>
41066@@prettier.js~482136-482148:1-1getNodeHelper
42996@@<builtin>~1-1:1-1RegExp.prototype.exec
40997@@<builtin>~1-1:1-1RegExp.prototype.get global
40572@@<builtin>~1-1:1-1RegExp.prototype.[Symbol.replace]
43470@@<builtin>~1-1:1-1String.prototype.replace
44371@@prettier.js~480891-480900:1-1getStringWidth
46206@@<builtin>~1-1:1-1Function.prototype.call
48441@@prettier.js~482154-482156:38-1getParentNode
50624@@<builtin>~1-1:1-1RegExp.prototype.get unicode
41875@@prettier.js~175290-175290:21503-21642i.fullCharCodeAtPos
33575@@prettier.js~175290-175290:1476-1617o
32278@@prettier.js~493137-493137:5-43:=>
31936@@prettier.js~175290-175290:1835-1869c
31798@@<builtin>~1-1:1-1Array.prototype.join
33102@@<builtin>~1-1:1-1RegExp
34403@@prettier.js~479883-479883:15-89index$4
35726@@prettier.js~479872-479879:15-1index$6
37050@@/[\u001B\u009B][[\]()#;?]*(?:(...~1-1:1-126regex TRegex fwd: /[\u001B\u009B][[\]()#;?]*(?:(...
38373@@/\uD83C\uDFF4\uDB40\uDC67\uDB4...~1-1:1-7085regex TRegex fwd: /\uD83C\uDFF4\uDB40\uDC67\uDB4...
39696@@prettier.js~479934-479965:15-1index$2
38523@@prettier.js~479769-479771:1-1concat$1
35947@@<builtin>~1-1:1-1Function.prototype.[Symbol.hasInstance]
35101@@prettier.js~175290-175290:20990-21055i.curContext
35444@@prettier.js~175290-175290:13452-13491X
36480@@prettier.js~175290-175290:17597-17658e.curPosition
37515@@prettier.js~482150-482152:32-1getNode
36980@@prettier.js~175290-175290:20408-20459i.eat
