0@@typescript.js~553614-553616:9-9token
2375@@typescript.js~543323-543323:26-57getStartPos
3479@@<builtin>~1-1:1-1Map.prototype.get
13894@@typescript.js~542945-542960:5-5isLineBreak
3382@@typescript.js~550301-550303:5-5isNodeKind
3335@@<builtin>~1-1:1-1Function.prototype.call
2328@@typescript.js~537762-537762:5-24noop
2697@@<builtin>~1-1:1-1Map.prototype.set
3800@@typescript.js~543330-543330:36-106hasPrecedingLineBreak
2770@@typescript.js~543328-543328:28-61getTokenValue
2520@@<builtin>~1-1:1-1Map
12029@@typescript.js~558946-558948:17-17nextJSDocToken
3432@@<builtin>~1-1:1-1Array
13676@@typescript.js~553617-553619:9-9nextToken
67186@@typescript.js~543286-543290:5-5isIdentifierPart
16843@@typescript.js~552635-552637:5-5visitNode
5109@@typescript.js~537771-537771:5-38identity
6673@@<builtin>~1-1:1-1Object.prototype.hasOwnProperty
40025@@<builtin>~1-1:1-1Array.prototype.push
18909@@typescript.js~546159-546161:5-5isInJSFile
19796@@typescript.js~543327-543327:27-79getTokenText
3862@@typescript.js~543334-543334:28-61getTokenFlags
7519@@typescript.js~552325-552329:5-5positionIsSynthesized
8791@@typescript.js~549633-549635:5-5isIdentifier
8574@@typescript.js~549791-549793:5-5isBindingElement
3670@@typescript.js~543326-543326:26-57getTokenPos
9028@@typescript.js~550005-550007:5-5isVariableDeclaration
17857@@typescript.js~548112-548114:5-5getSelectedModifierFlags
13145@@typescript.js~553605-553607:9-9getNodePos
6671@@typescript.js~542640-542642:5-5tokenIsIdentifierOrKeyword
35145@@typescript.js~553717-553723:9-9parseOptional
20500@@typescript.js~548100-548102:5-5hasModifier
19395@@typescript.js~548613-548615:5-5getCheckFlags
14291@@<builtin>~1-1:1-1Array.prototype.pop
16034@@typescript.js~548797-548799:5-5getObjectFlags
8836@@typescript.js~550179-550181:5-5isSourceFile
24372@@typescript.js~551034-551037:5-5hasJSDocNodes
8014@@typescript.js~550033-550035:5-5isModuleDeclaration
8114@@typescript.js~550280-550282:5-5isJSDocSignature
8249@@typescript.js~549804-549806:5-5isPropertyAccessExpression
45105@@typescript.js~537857-537864:9-9assert
2751@@<builtin>~1-1:1-1String.prototype.trim
9843@@typescript.js~549651-549653:5-5isParameter
20368@@typescript.js~569625-569628:9-9getMergedSymbol
3246@@<builtin>~1-1:1-1String.prototype.lastIndexOf
7709@@typescript.js~553568-553570:9-9inContext
11626@@typescript.js~544916-544918:5-5nodeIsPresent
3308@@<builtin>~1-1:1-1Map.prototype.has
14201@@typescript.js~537975-537977:5-5compareValues
22227@@typescript.js~550538-550545:5-5isBindingPattern
12467@@typescript.js~536524-536526:5-5createMap
16097@@typescript.js~549832-549837:5-5skipPartiallyEmittedExpressions
44986@@typescript.js~543280-543284:5-5isIdentifierStart
9421@@typescript.js~555463-555467:9-9parseType
12055@@typescript.js~618860-618862:9-9getNextPipelinePhase
15738@@typescript.js~564075-564077:9-9bindEachChild
18652@@typescript.js~537964-537970:5-5compareComparableValues
9326@@typescript.js~555386-555388:9-9parseIntersectionTypeOrHigher
9489@@typescript.js~555389-555391:9-9parseUnionTypeOrHigher
8226@@typescript.js~550165-550167:5-5isShorthandPropertyAssignment
32114@@typescript.js~568722-568734:9-9isSelfReferenceLocation
17384@@typescript.js~545032-545035:5-5getEmitFlags
21175@@typescript.js~567263-567269:5-5getSymbolId
16798@@typescript.js~553489-553496:9-9setContextFlag
50189@@typescript.js~548116-548123:5-5getModifierFlags
10015@@typescript.js~553680-553682:9-9tryParse
10169@@typescript.js~544527-544529:9-9tryScan
26591@@typescript.js~569629-569631:9-9getSymbolOfNode
23299@@typescript.js~654348-654350:9-9IdentifierObject
8624@@typescript.js~550161-550163:5-5isPropertyAssignment
14090@@typescript.js~550416-550418:5-5isFunctionLike
29741@@typescript.js~544909-544914:5-5nodeIsMissing
9536@@typescript.js~553506-553508:9-9setAwaitContext
9668@@typescript.js~553500-553502:9-9setYieldContext
22190@@typescript.js~553724-553729:9-9parseOptionalToken
59416@@typescript.js~553783-553796:9-9finishNode
19518@@typescript.js~567255-567261:5-5getNodeId
24254@@typescript.js~544997-544999:5-5isJSDocTypeExpressionOrChild
6354@@typescript.js~550244-550246:5-5isJSDocParameterTag
48451@@typescript.js~542928-542943:5-5isWhiteSpaceSingleLine
9508@@typescript.js~580148-580150:9-9getWidenedType
9593@@typescript.js~544524-544526:9-9lookAhead
9712@@typescript.js~553672-553674:9-9lookAhead
15436@@typescript.js~563678-563681:9-9createSymbol
2692@@typescript.js~543324-543324:25-51getTextPos
29241@@typescript.js~558515-558521:21-21pushComment
9321@@typescript.js~550017-550019:5-5isClassDeclaration
2707@@<builtin>~1-1:1-1Number.prototype.toString
30171@@typescript.js~547082-547086:5-5isDynamicName
6178@@typescript.js~550216-550218:5-5isJSDocFunctionType
74435@@typescript.js~543771-543784:9-9getIdentifierToken
6506@@typescript.js~549642-549644:5-5isComputedPropertyName
15308@@typescript.js~553839-553841:9-9parseIdentifier
56734@@typescript.js~549372-549377:5-5getNameOfDeclaration
26787@@typescript.js~547077-547080:5-5hasDynamicName
10228@@typescript.js~550013-550015:5-5isFunctionDeclaration
24325@@typescript.js~550726-550728:5-5isExpression
6410@@typescript.js~549843-549845:5-5isArrowFunction
10888@@typescript.js~549672-549674:5-5isMethodDeclaration
17888@@typescript.js~594617-594619:9-9checkGrammarDecoratorsAndModifiers
18674@@typescript.js~568225-568227:9-9isGlobalSourceFile
29623@@typescript.js~569729-569731:9-9symbolIsValue
29165@@typescript.js~558328-558334:21-21pushComment
11122@@typescript.js~550127-550129:5-5isJsxAttribute
11230@@typescript.js~549668-549670:5-5isMethodSignature
6953@@typescript.js~553580-553582:9-9inAwaitContext
7019@@typescript.js~553571-553573:9-9inYieldContext
71863@@typescript.js~552638-552651:5-5visitNodes
32947@@typescript.js~553813-553819:9-9internIdentifier
6906@@typescript.js~553861-553863:9-9parsePropertyName
