0@@jshint.js~375357-375359:9-3peek
4243@@<builtin>~1-1:1-1String.prototype.slice
2941@@<builtin>~1-1:1-1Array
8229@@<builtin>~1-1:1-1Function.prototype.bind
6001@@<builtin>~1-1:1-1Function.prototype.call
8360@@/[ \f\n\r\t\v\u00a0\u1680\u200...~1-1:1-76regex TRegex fwd: /[ \f\n\r\t\v\u00a0\u1680\u200...
14477@@<builtin>~1-1:1-1RegExp.prototype.test
5816@@<builtin>~1-1:1-1String.prototype.substr
33934@@jshint.js~375364-375368:9-3skip
7793@@<builtin>~1-1:1-1Array.isArray
4778@@<builtin>~1-1:1-1String.prototype.indexOf
6298@@jshint.js~30357-30359:1-1isFunction
6856@@jshint.js~30369-30371:1-1isUndefined
12491@@<builtin>~1-1:1-1Array.prototype.shift
15879@@<builtin>~1-1:1-1Function.prototype.apply
7908@@<builtin>~1-1:1-1Object.prototype.hasOwnProperty
53222@@<builtin>~1-1:1-1RegExp.prototype.exec
15375@@jshint.js~375242-375258:1-1asyncTrigger
8920@@<builtin>~1-1:1-1RegExp.prototype.get global
4997@@jshint.js~377046-377046:20-46:anonymous
9564@@<builtin>~1-1:1-1RegExp.prototype.get unicode
7964@@/^\w*$/~1-1:1-7regex TRegex fwd: /^\w*$/
26945@@<builtin>~1-1:1-1Array.prototype.push
10999@@<builtin>~1-1:1-1String.prototype.replace
4950@@<builtin>~1-1:1-1String.prototype.trim
5155@@/\t/g~1-1:1-5regex literal:indexOfString(	): /\t/g
8752@@/^[a-zA-Z_$][a-zA-Z0-9_$]*/~1-1:1-27regex TRegex fwd: /^[a-zA-Z_$][a-zA-Z0-9_$]*/
11122@@<builtin>~1-1:1-1Array.prototype.pop
10945@@jshint.js~53551-53553:5-5isObjectLike
27860@@<builtin>~1-1:1-1Array.prototype.splice
7435@@/^(?:[\$A-Z_a-z\xAA\xB5\xBA\xC...~1-1:1-9011regex TRegex fwd: /^(?:[\$A-Z_a-z\xAA\xB5\xBA\xC...
34796@@<builtin>~1-1:1-1Object.create
8798@@jshint.js~30365-30367:1-1isObject
4585@@<builtin>~1-1:1-1Object
