0@@acorn.js~64333-64341:1-1finishNodeAt
0@@acorn.js~64488-64496:28-1updateContext
0@@acorn.js~200365-200365:22-36:=>
0@@/^(?:break|case|catch|continue...~1-1:1-219regex TRegex fwd: /^(?:break|case|catch|continue...
0@@acorn.js~215994-215994:1-34ignore
0@@/\r\n?|\n|\u2028|\u2029/~1-1:1-24regex TRegex fwd: /\r\n?|\n|\u2028|\u2029/
0@@<builtin>~1-1:1-1Object.prototype.hasOwnProperty
0@@/^(?:class|enum|extends|super|...~1-1:1-123regex TRegex fwd: /^(?:class|enum|extends|super|...
0@@/^(?:enum|await|implements|int...~1-1:1-89regex TRegex fwd: /^(?:enum|await|implements|int...
0@@/\r\n?|\n|\u2028|\u2029/g~1-1:1-25regex TRegex fwd: /\r\n?|\n|\u2028|\u2029/g
0@@/\r\n?|\n|\u2028|\u2029/g~1-1:1-25regex DFA traceFinder: /\r\n?|\n|\u2028|\u2029/g
0@@/^(?:class|enum|extends|super|...~1-1:1-52regex TRegex fwd: /^(?:class|enum|extends|super|...
0@@acorn.js~64299-64301:23-1pp$5.declareVarName
0@@/^(?:class|enum|extends|super|...~1-1:1-138regex TRegex fwd: /^(?:class|enum|extends|super|...
0@@<builtin>~1-1:1-1parseFloat
0@@/^(?:enum|await|implements|int...~1-1:1-104regex TRegex fwd: /^(?:enum|await|implements|int...
0@@acorn.js~62997-63005:29-1pp$1.isDirectiveCandidate
0@@/ /g~1-1:1-4regex literal:indexOfString( ): / /g
0@@acorn.js~64303-64305:27-1pp$5.declareLexicalName
0@@acorn.js~64456-64458:30-1updateContext
0@@/(?:\s|\/\/.*|\/\*[^]*?\*\/)*/...~1-1:1-31regex TRegex fwd: /(?:\s|\/\/.*|\/\*[^]*?\*\/)*/...
0@@/(?:\s|\/\/.*|\/\*[^]*?\*\/)*/...~1-1:1-31regex TRegex bck: /(?:\s|\/\/.*|\/\*[^]*?\*\/)*/...
0@@/^(?:enum|implements|interface...~1-1:1-83regex TRegex fwd: /^(?:enum|implements|interface...
0@@/^(?:'((?:\\.|[^'])*?)'|"((?:\...~1-1:1-46regex TRegex fwd: /^(?:'((?:\\.|[^'])*?)'|"((?:\...
0@@acorn.js~62151-62155:27-1pp.isSimpleAssignTarget
0@@<builtin>~1-1:1-1RegExp.prototype.get global
0@@<builtin>~1-1:1-1RegExp.prototype.get unicode
0@@acorn.js~65711-65720:1-1isCharacterClassEscape
0@@/^in(stanceof)?$/~1-1:1-17regex TRegex fwd: /^in(stanceof)?$/
0@@/\r\n?/g~1-1:1-8regex TRegex fwd: /\r\n?/g
0@@acorn.js~63739-63741:23-1pp$3.parseParenItem
0@@/^(?:enum|implements|interface...~1-1:1-98regex TRegex fwd: /^(?:enum|implements|interface...
0@@acorn.js~184441-184452:5-5baseAssignValue
0@@acorn.js~65985-65987:1-1isOctalDigit
0@@acorn.js~65944-65952:1-1hexToInt
0@@acorn.js~65937-65943:1-1isHexDigit
0@@acorn.js~193589-193592:5-5isLength
0@@/\#/g~1-1:1-5regex literal:indexOfString(#): /\#/g
0@@acorn.js~197356-197358:5-5identity
0@@<builtin>~1-1:1-1Object.prototype.toString
0@@<builtin>~1-1:1-1Array.prototype.join
0@@/['\n\r\u2028\u2029\\]/g~1-1:1-24regex TRegex fwd: /['\n\r\u2028\u2029\\]/g
0@@/<%-([\s\S]+?)%>|<%=([\s\S]+?)...~1-1:1-82regex TRegex fwd: /<%-([\s\S]+?)%>|<%=([\s\S]+?)...
0@@<builtin>~1-1:1-1Object.keys
0@@acorn.js~64477-64486:28-1updateContext
0@@/^_|^events$|^on[A-Z]/~1-1:1-22regex TRegex fwd: /^_|^events$|^on[A-Z]/
0@@/^\w*$/~1-1:1-7regex TRegex fwd: /^\w*$/
0@@acorn.js~64380-64382:23-1pp$7.initialContext
0@@acorn.js~188630-188636:5-5toKey
0@@/(__e\(.*?\)|\b__t\)) \+\n'';/...~1-1:1-31regex TRegex fwd: /(__e\(.*?\)|\b__t\)) \+\n'';/...
