SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
<builtin>~1-1:1-1,/(^|[\s(])(sticky($|[\s(]))/...~1-1:1-32,108,96,18,RegExp.prototype.exec,regex TRegex fwd: /(^|[\sh(])(sticky($|[\s(h]))/...,<builtin>~1:0,
postcss.js~194471-194481:33-5,postcss.js~193208-193210:5-5,94,146,34,assign,isArrayLike,benchmarks/postcss.js~194472:7408751-7408769,
postcss.js~403391-403483:32-5,<builtin>~1-1:1-1,1104,650,33,add,Array.prototype.indexOf,benchmarks/postcss.js~403453:17435003-17435034,
postcss.js~203832-203842:19-1,<builtin>~1-1:1-1,2,81,11,exports.default,Array,benchmarks/postcss.js~203834:7692478-7692494,
postcss.js~398211-398237:35-5,postcss.js~398618-398620:14-9,36,319,25,combinator,get,benchmarks/postcss.js~398221:16956573-16956586,
postcss.js~405703-405707:5-5,postcss.js~405692-405692:1-153,4,45,42,Animation,_classCallCheck,benchmarks/postcss.js~405704:17507465-17507496,
postcss.js~180930-181003:7-7,postcss.js~191554-191559:5-5,3,302,100,evaluate,reduce,benchmarks/postcss.js~180956:6981507-6981532,
postcss.js~398413-398475:34-5,<builtin>~1-1:1-1,108,296,31,splitWord,Array.prototype.forEach,benchmarks/postcss.js~398441-398473:16965237-16966565,
postcss.js~397730-397734:41-5,postcss.js~397712-397721:36-5,108,25,92,_parseOptions,_isLossy,benchmarks/postcss.js~397732:16937474-16937495,
postcss.js~214516-214552:12-5,postcss.js~209642-209677:12-5,173,330,230,readSync,read,benchmarks/postcss.js~214544:7998111-7998135,
postcss.js~398441-398473:25-9,postcss.js~398599-398608:32-5,126,250,67,:anonymous,newNode,benchmarks/postcss.js~398470:16966434-16966464,
postcss.js~83139-83176:34-5,<builtin>~1-1:1-1,42,270,16,append,Array.isArray,benchmarks/postcss.js~83159:2655732-2655756,
postcss.js~200661-200676:1-1,postcss.js~200686-200700:1-1,857,79,103,Buffer,from,benchmarks/postcss.js~200675:7599459-7599499,
<builtin>~1-1:1-1,postcss.js~397546-397558:30-5,54,31,37,Array.prototype.forEach,:anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,/^\s*$/~1-1:1-7,951,97,18,RegExp.prototype.exec,regex TRegex fwd: /^\s*$/,<builtin>~1:0,
postcss.js~404947-404962:26-9,postcss.js~404713-404760:35-5,24,95,353,:anonymous,prefixed,benchmarks/postcss.js~404949:17480758-17480778,
postcss.js~35701-35738:1-1,<builtin>~1-1:1-1,462,384,56,_clone,Array.prototype.map,benchmarks/postcss.js~35726-35728:1089702-1089782,
postcss.js~406101-406114:36-5,postcss.js~19985-20000:18-1,12,88,80,prefixed,module.exports,benchmarks/postcss.js~406104:17523391-17523406,
postcss.js~84790-84801:13-5,postcss.js~84261-84271:1-1,2,91,115,select,normalizeVersion,benchmarks/postcss.js~84792:2756534-2756561,
postcss.js~405030-405054:12-5,<builtin>~1-1:1-1,72,121,45,parse,Array.prototype.push,benchmarks/postcss.js~405038:17483141-17483165,
postcss.js~180709-180771:7-7,<function>~1-7:1-2,1,429,10,createCompiled,:program,benchmarks/postcss.js~180766-180770:6975252-6975445,
postcss.js~180871-181014:5-5,postcss.js~179878-180016:5-5,1,121,370,compute,invoke,benchmarks/postcss.js~181007-181013:6983566-6983762,
postcss.js~397544-397560:1-1,<builtin>~1-1:1-1,54,38,31,selectors,Array.prototype.forEach,benchmarks/postcss.js~397546-397558:16931873-16932300,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,360,33,62,String.prototype.split,RegExp.prototype.[Symbol.split],<builtin>~1:0,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,2,12,21,Function.prototype.call,Array.prototype.shift,<builtin>~1:0,
<builtin>~1-1:1-1,postcss.js~395926-395936:7-1,3,56,116,Array.prototype.map,:=>,<builtin>~1:0,
postcss.js~402837-403018:37-5,postcss.js~35762-35769:21-5,209,1583,76,preprocess,load,benchmarks/postcss.js~402876:17415972-17416009,
postcss.js~196740-196743:28-7,lodash.templateSources[93]~1-13:1-2,1,51,10,result,:program,benchmarks/postcss.js~196741:7480055-7480107,
postcss.js~406482-406495:37-5,<builtin>~1-1:1-1,9,88,12,prefixed,Function.prototype.call,benchmarks/postcss.js~406493:17537586-17537641,
postcss.js~180825-180828:7-7,lodash.templateSources[44]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/postcss.js~180827:6977092-6977168,
postcss.js~396101-396113:5-5,postcss.js~396144-396147:39-5,44,102,45,PreviousMap,startWith,benchmarks/postcss.js~396108:16794488-16794527,
postcss.js~180604-180860:5-5,postcss.js~180776-180820:7-7,1,229,220,clock,getRes,benchmarks/postcss.js~180607:6968725-6968736,
postcss.js~404206-404344:31-5,postcss.js~83068-83089:39-5,18,146,69,add,walkAtRules,benchmarks/postcss.js~404215-404235:17457257-17458160,
postcss.js~83735-83743:34-5,<builtin>~1-1:1-1,39,85,12,removeChild,Function.prototype.call,benchmarks/postcss.js~83742:2720145-2720194,
postcss.js~404970-404977:34-5,postcss.js~404844-404864:33-5,24,78,181,process,remove,benchmarks/postcss.js~404973:17481327-17481355,
