SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
babel-minify.js~330237-330243:3-3,babel-minify.js~330233-330235:3-3,5676,48,26,add,has,benchmarks/babel-minify.js~330238:14164024-14164038,
babel-minify.js~133697-133749:3-3,babel-minify.js~12858-12871:1-1,10405,637,59,isPure,isClassBody,benchmarks/babel-minify.js~133709:5036110-5036130,
babel-minify.js~73524-73539:30-3,babel-minify.js~73351-73358:24-3,220,173,103,readToken_eq_excl,finishToken,benchmarks/babel-minify.js~73534:2305565-2305593,
babel-minify.js~132481-132545:1-1,<builtin>~1-1:1-1,180,413,42,removeTypeDuplicates,%ForInIteratorPrototype%.next,benchmarks/babel-minify.js~132540-132542:5008040-5008105,
babel-minify.js~305387-305392:1-1,babel-minify.js~303448-303492:3-3,444,73,394,_param,print,benchmarks/babel-minify.js~305391:13507922-13507968,
babel-minify.js~330593-330610:7-7,<builtin>~1-1:1-1,12,278,17,NumericLiteral,String.prototype.lastIndexOf,benchmarks/babel-minify.js~330599:14174055-14174082,
babel-minify.js~136702-136720:1-1,<builtin>~1-1:1-1,25,192,30,assertNoDuplicates,Array.prototype.values,benchmarks/babel-minify.js~136705-136719:5111177-5111728,
babel-minify.js~76113-76134:32-3,babel-minify.js~76136-76152:30-3,2705,180,158,parseIdentifierName,checkReservedWord,benchmarks/babel-minify.js~76115:2383676-2383767,
babel-minify.js~312542-312544:1-1,babel-minify.js~1990-1992:8-3,18,33,13,addComments,get,benchmarks/babel-minify.js~312543:13686290-13686304,
babel-minify.js~73732-73790:23-3,<builtin>~1-1:1-1,45,415,22,readRegexp,RegExp.prototype.test,benchmarks/babel-minify.js~73743:2310262-2310279,
babel-minify.js~27602-27642:18-1,babel-minify.js~27644-27653:1-1,1861,112,32,evaluate,baseEvaluate,benchmarks/babel-minify.js~27606:857770-857787,
babel-minify.js~333202-333224:3-3,babel-minify.js~15783-15796:1-1,114,197,138,baseTypeStrictlyMatches,isFlowBaseAnnotation,benchmarks/babel-minify.js~333221:14249276-14249308,
babel-minify.js~333046-333080:3-3,babel-minify.js~312369-312378:1-1,418,298,62,simplify,get,benchmarks/babel-minify.js~333054:14244557-14244578,
babel-minify.js~331387-331408:9-9,babel-minify.js~12093-12106:1-1,132,147,63,enter,isBinaryExpression,benchmarks/babel-minify.js~331396:14194955-14194980,
