SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
jshint.js~180825-180828:7-7,lodash.templateSources[65]~4-20:8-1,1,93,231,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
jshint.js~375389-375391:12-3,<builtin>~1-1:1-1,42782,81,12,trigger,Function.prototype.call,benchmarks/jshint.js~375390:15678775-15678811,
<function>~1-7:2-1,jshint.js~197631-197633:5-5,1,113,7,anonymous,noop,<function>~4:301-323,
jshint.js~376503-376695:15-3,jshint.js~375357-375359:9-3,114827,674,35,scanRegExp,peek,benchmarks/jshint.js~376506:15706866-15706876,
jshint.js~186732-186754:23-7,<builtin>~1-1:1-1,198,163,9,:anonymous,Object,benchmarks/jshint.js~186746:7164722-7164735,
jshint.js~370043-370129:3-3,jshint.js~149710-149713:13-3,11075,506,66,statement,isStrict,benchmarks/jshint.js~370105:15526038-15526053,
jshint.js~376866-376946:18-5,<builtin>~1-1:1-1,11487,555,68,create,Object.create,benchmarks/jshint.js~376900:15716379-15716412,
jshint.js~370043-370129:3-3,jshint.js~369351-369435:3-3,11955,516,740,statement,expression,benchmarks/jshint.js~370100:15525835-15525853,
jshint.js~180485-180557:5-5,jshint.js~188445-188461:14-7,2,238,163,reset,:anonymous,benchmarks/jshint.js~180503:6965095-6965172,
jshint.js~186794-186807:14-7,jshint.js~180507-180545:31-9,96,97,282,:anonymous,:anonymous,benchmarks/jshint.js~186802:7166443-7166480,
jshint.js~184582-184589:33-7,jshint.js~184511-184591:5-5,321,67,499,:anonymous,baseClone,benchmarks/jshint.js~184588:7092902-7092960,
jshint.js~372540-372552:22-3,jshint.js~371615-371617:3-3,210,158,35,:anonymous,increaseComplexityCount,benchmarks/jshint.js~372544:15595783-15595807,
jshint.js~180825-180828:7-7,lodash.templateSources[36]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
jshint.js~369634-369648:13-5,jshint.js~370597-370612:14-3,318,132,100,x.led,:anonymous,benchmarks/jshint.js~369642:15513291-15513303,
jshint.js~372429-372476:19-3,jshint.js~369251-369308:3-3,2028,265,529,:anonymous,advance,benchmarks/jshint.js~372455:15593372-15593386,
jshint.js~378727-378914:14-5,<builtin>~1-1:1-1,9264,994,13,unstack,Object.keys,benchmarks/jshint.js~378737:16077943-16077968,
jshint.js~372350-372402:25-3,jshint.js~371470-371574:3-3,864,338,699,:anonymous,doFunction,benchmarks/jshint.js~372379-372384:15590947-15591145,
jshint.js~180416-180420:23-7,jshint.js~195034-195036:5-5,38,41,31,:anonymous,has,benchmarks/jshint.js~180417:6962398-6962415,
jshint.js~194011-194014:5-5,<builtin>~1-1:1-1,2,52,16,isString,Array.isArray,benchmarks/jshint.js~194013:7397253-7397266,
jshint.js~371663-371676:3-3,jshint.js~373549-373551:3-3,90,100,32,metaProperty,checkPunctuator,benchmarks/jshint.js~371664:15569684-15569722,
jshint.js~371652-371661:3-3,jshint.js~149781-149786:10-3,233,139,62,checkProperties,inES5,benchmarks/jshint.js~371654:15569429-15569441,
jshint.js~372094-372178:34-3,jshint.js~51211-51222:5-5,3288,763,121,varstatement,includes,benchmarks/jshint.js~372102:15583000-15583046,
jshint.js~196646-196752:5-5,jshint.js~188445-188461:14-7,77,458,163,template,:anonymous,benchmarks/jshint.js~196656:7477000-7477058,
jshint.js~369209-369238:3-3,jshint.js~376828-377113:10-3,105549,104,1118,peek,token,benchmarks/jshint.js~369217:15502564-15502574,
<builtin>~1-1:1-1,lodash.templateSources[83]~1-15:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
jshint.js~372094-372178:34-3,jshint.js~369251-369308:3-3,2953,768,498,varstatement,advance,benchmarks/jshint.js~372151:15584399-15584410,
<builtin>~1-1:1-1,jshint.js~368827-368872:3-3,84,27,364,Function.prototype.apply,warning,<builtin>~1:0,
<builtin>~1-1:1-1,/\t/g~1-1:1-5,30928,93,9,RegExp.prototype.exec,regex literal:indexOfString(	): /\t/g,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[64]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[34]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
jshint.js~180825-180828:7-7,lodash.templateSources[63]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
jshint.js~180485-180557:5-5,jshint.js~179456-179464:5-5,2,240,116,reset,Event,benchmarks/jshint.js~180551:6966938-6966951,
jshint.js~377262-377403:20-1,jshint.js~373917-373921:11-7,17,103,59,exports.register,on,benchmarks/jshint.js~377301-377313:16030907-16031255,
jshint.js~180610-180702:15-7,<builtin>~1-1:1-1,2,535,12,clock,Function.prototype.call,benchmarks/jshint.js~180685:6972469-6972504,
jshint.js~180825-180828:7-7,lodash.templateSources[50]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
<function>~1-7:2-1,jshint.js~197631-197633:5-5,1,113,7,anonymous,noop,<function>~4:301-323,
jshint.js~369796-369851:3-3,jshint.js~379316-379323:17-7,1920,364,56,checkLeftSideAssign,reassign,benchmarks/jshint.js~369815:15518484-15518538,
jshint.js~378727-378914:14-5,jshint.js~379048-379055:16-5,28494,1030,31,unstack,labeltype,benchmarks/jshint.js~378786:16079859-16079887,
jshint.js~196683-196706:36-7,<builtin>~1-1:1-1,123,128,18,:anonymous,String.prototype.replace,benchmarks/jshint.js~196687:7478259-7478330,
jshint.js~372481-372514:5-5,jshint.js~373536-373541:3-3,12,222,45,doCatch,checkPunctuators,benchmarks/jshint.js~372487:15594239-15594285,
<builtin>~1-1:1-1,lodash.templateSources[73]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
jshint.js~49076-49089:5-5,jshint.js~42575-42585:3-3,2154,100,58,findLastIndex,baseFindIndex,benchmarks/jshint.js~49088:1519432-1519491,
jshint.js~376367-376491:22-3,jshint.js~376138-376250:23-3,114,468,440,scanStringLiteral,scanEscapeSequence,benchmarks/jshint.js~376465:15705590-15705620,
jshint.js~371143-371203:15-3,jshint.js~369251-369308:3-3,342,450,529,:anonymous,advance,benchmarks/jshint.js~371201:15555822-15555839,
jshint.js~375925-376134:23-3,jshint.js~375934-375936:5-5,1915,838,36,scanNumericLiteral,isDecimalDigit,benchmarks/jshint.js~376042:15694679-15694698,
jshint.js~373790-374041:16-3,jshint.js~371576-371613:3-3,17,1344,62,itself,createMetrics,benchmarks/jshint.js~373881:15635378-15635409,
jshint.js~375748-375769:16-3,<builtin>~1-1:1-1,48663,133,25,scanKeyword,Array.prototype.indexOf,benchmarks/jshint.js~375761:15688124-15688150,
jshint.js~184948-184951:5-5,jshint.js~195182-195184:5-5,32,57,41,baseGetAllKeys,keys,benchmarks/jshint.js~184949:7105008-7105023,
jshint.js~376711-376748:9-3,jshint.js~375415-375560:19-3,114753,256,621,next,scanPunctuator,benchmarks/jshint.js~376735:15712066-15712086,
<builtin>~1-1:1-1,jshint.js~378977-378991:50-7,3798,31,80,Array.prototype.forEach,:anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,jshint.js~30116-30169:31-1,42782,27,381,Function.prototype.apply,EventEmitter.emit,<builtin>~1:0,
jshint.js~376828-377113:10-3,jshint.js~375400-375406:17-3,1829,1110,53,token,triggerAsync,benchmarks/jshint.js~377071-377077:15721217-15721444,
jshint.js~54175-54180:5-5,jshint.js~54137-54147:5-5,84,38,62,toInteger,toFinite,benchmarks/jshint.js~54176:1677062-1677076,
<builtin>~1-1:1-1,lodash.templateSources[92]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
jshint.js~369469-369523:3-3,jshint.js~369251-369308:3-3,6718,286,498,parseComma,advance,benchmarks/jshint.js~369474:15509833-15509844,
jshint.js~371260-371352:3-3,jshint.js~373549-373551:3-3,3798,535,28,functionparams,checkPunctuator,benchmarks/jshint.js~371306:15558638-15558678,
jshint.js~376866-376946:18-5,<builtin>~1-1:1-1,64261,555,68,create,Object.create,benchmarks/jshint.js~376890:15716016-15716076,
<builtin>~1-1:1-1,jshint.js~377266-377278:27-3,39453,27,64,Function.prototype.apply,style_scanProto,<builtin>~1:0,
jshint.js~179017-179020:12-3,<builtin>~1-1:1-1,3,112,8,onCycle,Date,benchmarks/jshint.js~179019:6918098-6918107,
jshint.js~376138-376250:23-3,jshint.js~375364-375368:9-3,114,446,53,scanEscapeSequence,skip,benchmarks/jshint.js~376141:15696666-15696676,
jshint.js~371354-371396:3-3,jshint.js~48332-48348:14-7,2153,269,160,functor,:anonymous,benchmarks/jshint.js~371381-371385:15560861-15561005,
jshint.js~370733-370798:17-3,jshint.js~368827-368872:3-3,12,419,383,:anonymous,warning,benchmarks/jshint.js~370794:15543455-15543513,
jshint.js~373790-374041:16-3,jshint.js~52808-52810:5-5,17,1336,22,itself,clone,benchmarks/jshint.js~373796:15633092-15633101,
jshint.js~371470-371574:3-3,jshint.js~371354-371396:3-3,2153,713,269,doFunction,functor,benchmarks/jshint.js~371489-371495:15564502-15564729,
jshint.js~379106-379200:15-5,jshint.js~379251-379253:12-7,4152,461,45,addlabel,has,benchmarks/jshint.js~379171:16094474-16094510,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,83735,12,61,Function.prototype.call,Array.prototype.slice,<builtin>~1:0,
jshint.js~370155-370180:3-3,jshint.js~370019-370041:3-3,6,196,192,directives,parseFinalSemicolon,benchmarks/jshint.js~370174:15527586-15527613,
jshint.js~372710-372932:20-3,jshint.js~373549-373551:3-3,12,1637,30,:anonymous,checkPunctuator,benchmarks/jshint.js~372803:15603032-15603070,
<builtin>~1-1:1-1,lodash.templateSources[62]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
jshint.js~370551-370558:19-3,jshint.js~369720-369735:3-3,348,67,136,:anonymous,isTypoTypeof,benchmarks/jshint.js~370554:15537368-15537399,
jshint.js~372710-372932:20-3,jshint.js~369796-369851:3-3,12,1629,569,:anonymous,checkLeftSideAssign,benchmarks/jshint.js~372800:15602968-15603002,
jshint.js~187908-187916:54-5,<builtin>~1-1:1-1,32,57,9,getSymbols,Object,benchmarks/jshint.js~187912:7205303-7205316,
jshint.js~378484-379362:20-1,jshint.js~378489-378499:3-3,17,334,135,scopeManager,_newScope,benchmarks/jshint.js~378501:16071493-16071511,
jshint.js~375775-375914:19-3,jshint.js~375840-375864:29-5,224203,273,103,scanIdentifier,getIdentifierPart,benchmarks/jshint.js~375879:15690690-15690708,
jshint.js~180825-180828:7-7,lodash.templateSources[51]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
jshint.js~369351-369435:3-3,jshint.js~370630-370647:20-3,24,714,70,expression,:anonymous,benchmarks/jshint.js~369384:15507183-15507208,
jshint.js~180825-180828:7-7,lodash.templateSources[39]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
jshint.js~375401-375405:17-5,jshint.js~376990-376990:20-46,1500,36,8,:anonymous,:anonymous,benchmarks/jshint.js~375402:15679201-15679204,
jshint.js~184582-184589:33-7,jshint.js~184362-184368:5-5,321,67,86,:anonymous,assignValue,benchmarks/jshint.js~184588:7092877-7092961,
jshint.js~180709-180771:7-7,jshint.js~180825-180828:7-7,7,466,93,createCompiled,interpolate,benchmarks/jshint.js~180769:6975419-6975435,
jshint.js~378601-378629:3-3,jshint.js~378537-378547:26-3,3798,143,30,_checkParams,_getUnusedOption,benchmarks/jshint.js~378614:16074226-16074272,
jshint.js~371260-371352:3-3,<builtin>~1-1:1-1,3798,546,42,functionparams,Array.prototype.push,benchmarks/jshint.js~371309:15558759-15558779,
jshint.js~185379-185390:5-5,<builtin>~1-1:1-1,44,147,12,baseKeys,Function.prototype.call,benchmarks/jshint.js~185385:7119987-7120018,
<builtin>~1-1:1-1,lodash.templateSources[71]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
jshint.js~180825-180828:7-7,lodash.templateSources[94]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
jshint.js~179017-179020:12-3,<builtin>~1-1:1-1,3,67,8,onCycle,Date,benchmarks/jshint.js~179018:6918047-6918056,
jshint.js~182348-182356:3-3,<builtin>~1-1:1-1,275,126,12,apply,Function.prototype.call,benchmarks/jshint.js~182352:7025137-7025172,
jshint.js~30171-30219:38-1,jshint.js~30357-30359:1-1,238,396,12,EventEmitter.addListener,isFunction,benchmarks/jshint.js~30174:931748-931767,
jshint.js~186732-186754:23-7,jshint.js~194471-194481:33-5,65,163,166,:anonymous,assign,benchmarks/jshint.js~186750:7164848-7164890,
jshint.js~373790-374041:16-3,jshint.js~378727-378914:14-5,18,1323,1612,itself,unstack,benchmarks/jshint.js~374017:15638454-15638485,
jshint.js~373101-373108:17-3,jshint.js~369351-369435:3-3,42,42,701,:anonymous,expression,benchmarks/jshint.js~373103:15612040-15612053,
<builtin>~1-1:1-1,lodash.templateSources[89]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
jshint.js~188445-188461:14-7,<builtin>~1-1:1-1,275,163,11,:anonymous,Array,benchmarks/jshint.js~188455:7222870-7222885,
jshint.js~373426-373465:25-3,jshint.js~369209-369238:3-3,2712,264,104,lookupBlockType,peek,benchmarks/jshint.js~373436:15622024-15622030,
jshint.js~180825-180828:7-7,lodash.templateSources[35]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
jshint.js~55112-55114:5-5,jshint.js~53111-53113:5-5,4323,38,42,keysIn,isArrayLike,benchmarks/jshint.js~55113:1704277-1704295,
jshint.js~373426-373465:25-3,jshint.js~373536-373541:3-3,575,258,45,lookupBlockType,checkPunctuators,benchmarks/jshint.js~373450:15622463-15622494,
jshint.js~375780-375782:5-5,<builtin>~1-1:1-1,47,26,25,isNonAsciiIdentifierStart,Array.prototype.indexOf,benchmarks/jshint.js~375781:15688553-15688594,
jshint.js~180825-180828:7-7,lodash.templateSources[24]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
jshint.js~194547-194549:39-5,jshint.js~195209-195211:5-5,231,39,38,assignInWith,keysIn,benchmarks/jshint.js~194548:7411068-7411081,
jshint.js~373869-373871:36-5,<builtin>~1-1:1-1,84,52,27,:anonymous,Function.prototype.apply,benchmarks/jshint.js~373870:15635009-15635065,
jshint.js~187049-187091:7-7,jshint.js~186567-186589:5-5,52,311,154,wrapper,composeArgs,benchmarks/jshint.js~187062:7175715-7175761,
jshint.js~372985-373006:18-3,jshint.js~369351-369435:3-3,2382,188,782,:anonymous,expression,benchmarks/jshint.js~372988:15608519-15608531,
jshint.js~30116-30169:31-1,<builtin>~1-1:1-1,40953,381,61,EventEmitter.emit,Array.prototype.slice,benchmarks/jshint.js~30162:931530-931544,
jshint.js~180507-180545:31-9,<builtin>~1-1:1-1,2,282,16,:anonymous,Array.isArray,benchmarks/jshint.js~180519:6965678-6965697,
jshint.js~369571-369586:45-5,jshint.js~369796-369851:3-3,132,133,418,x.nud,checkLeftSideAssign,benchmarks/jshint.js~369581:15512124-15512160,
jshint.js~376367-376491:22-3,jshint.js~375357-375359:9-3,10297,462,35,scanStringLiteral,peek,benchmarks/jshint.js~376444:15704970-15704980,
jshint.js~378519-378525:3-3,jshint.js~49691-49705:5-5,48,69,89,error,slice,benchmarks/jshint.js~378523:16072065-16072085,
jshint.js~369886-369896:24-5,jshint.js~369351-369435:3-3,6,66,708,:anonymous,expression,benchmarks/jshint.js~369893:15520451-15520464,
jshint.js~378922-378967:15-5,jshint.js~54937-54939:5-5,3810,275,31,addParam,has,benchmarks/jshint.js~378957:16086949-16086986,
jshint.js~180825-180828:7-7,lodash.templateSources[53]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
<builtin>~1-1:1-1,jshint.js~196740-196743:28-7,77,12,43,Function.prototype.call,result,<builtin>~1:0,
jshint.js~178695-178704:19-1,<builtin>~1-1:1-1,1,121,8,:=>,Console.log,benchmarks/jshint.js~178701-178703:6909774-6909867,
<builtin>~1-1:1-1,/^[a-zA-Z_$][a-zA-Z0-9_$]*/~1-1:1-27,50492,93,15,RegExp.prototype.exec,regex TRegex fwd: /^[a-zA-Z_$][a-zA-Z0-9_$]*/,<builtin>~1:0,
<builtin>~1-1:1-1,/\\u([0-9a-fA-F]{4})/g~1-1:1-22,37176,93,20,RegExp.prototype.exec,regex TRegex fwd: /\\u([0-9a-fA-F]{4})/g,<builtin>~1:0,
jshint.js~179733-179748:5-5,jshint.js~187049-187091:7-7,2,94,311,setOptions,wrapper,benchmarks/jshint.js~179734:6941740-6941757,
jshint.js~180825-180828:7-7,lodash.templateSources[71]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/jshint.js~180827:6977092-6977168,
jshint.js~370193-370326:3-3,<builtin>~1-1:1-1,2297,835,38,block,%ForInIteratorPrototype%.next,benchmarks/jshint.js~370224-370226:15528886-15528964,
jshint.js~375925-376134:23-3,jshint.js~375357-375359:9-3,1829,838,35,scanNumericLiteral,peek,benchmarks/jshint.js~375929:15691868-15691883,
jshint.js~179733-179748:5-5,jshint.js~187049-187091:7-7,2,94,311,setOptions,wrapper,benchmarks/jshint.js~179734:6941701-6941737,
jshint.js~375925-376134:23-3,jshint.js~375934-375936:5-5,954,838,36,scanNumericLiteral,isDecimalDigit,benchmarks/jshint.js~376031:15694350-15694369,
jshint.js~372481-372514:5-5,jshint.js~369251-369308:3-3,12,263,555,doCatch,advance,benchmarks/jshint.js~372509:15595079-15595090,
<function>~1-7:2-1,jshint.js~197631-197633:5-5,1,150,7,anonymous,noop,<function>~5:569-594,
jshint.js~371679-371811:13-5,jshint.js~369469-369523:3-3,176,932,298,x.nud,parseComma,benchmarks/jshint.js~371790:15573578-15573628,
