SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
prettier.js~480957-481017:1-1,prettier.js~480379-480406:1-1,1944,489,168,getSortedChildNodes,locEnd$1,benchmarks/prettier.js~480983:20114705-20114726,
prettier.js~488666-491303:1-1,prettier.js~493635-493649:1-1,2448,12857,76,genericPrintNoParens,isTheOnlyJSXElementInMarkdown,benchmarks/prettier.js~488722:20347801-20347844,
prettier.js~491311-491364:12-3,prettier.js~479769-479771:1-1,6558,312,24,:=>,concat$1,benchmarks/prettier.js~491363:20425433-20425447,
prettier.js~180416-180420:23-7,prettier.js~195034-195036:5-5,38,41,31,:anonymous,has,benchmarks/prettier.js~180417:6962398-6962415,
prettier.js~175290-175290:118626-119088,<builtin>~1-1:1-1,2298,188,12,i.parseExpressionStatement,Function.prototype.call,benchmarks/prettier.js~175290:6765203-6765253,
prettier.js~187908-187916:54-5,<builtin>~1-1:1-1,32,57,8,getSymbols,Object.getOwnPropertySymbols,benchmarks/prettier.js~187913:7205344-7205367,
<builtin>~1-1:1-1,prettier.js~489192-489192:38-75,2268,23,15,Array.prototype.find,:=>,<builtin>~1:0,
prettier.js~492407-492407:34-69,prettier.js~493142-493144:1-1,1158,24,32,:=>,hasLeadingComment,benchmarks/prettier.js~492407:20454176-20454203,
prettier.js~482777-482811:3-3,prettier.js~482777-482811:3-3,642,239,239,traverseDocRec,traverseDocRec,benchmarks/prettier.js~482795:20168513-20168544,
prettier.js~175290-175290:36628-36971,<builtin>~1-1:1-1,23,272,9,i.stmtToDirective,String.prototype.slice,benchmarks/prettier.js~175290:6682907-6682937,
prettier.js~175290-175290:136904-137293,<builtin>~1-1:1-1,312,252,43,i.jsxParseOpeningElementAt,Array.prototype.push,benchmarks/prettier.js~175290:6783313-6783355,
prettier.js~482899-482926:1-1,prettier.js~482776-482814:1-1,30,53,37,propagateBreaks,traverseDoc,benchmarks/prettier.js~482902-482925:20170910-20171451,
prettier.js~180709-180771:7-7,prettier.js~188445-188461:14-7,7,466,163,createCompiled,:anonymous,benchmarks/prettier.js~180715-180720:6973465-6973789,
prettier.js~488666-491303:1-1,prettier.js~491493-491619:1-1,1884,13351,550,genericPrintNoParens,printArgumentsList,benchmarks/prettier.js~489318:20365935-20365974,
prettier.js~481022-481098:1-1,prettier.js~480349-480377:1-1,12864,314,218,decorateComment,locStart$1,benchmarks/prettier.js~481044:20116354-20116370,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,54,32,14,RegExp.prototype.[Symbol.split],RegExp.prototype.get flags,<builtin>~1:0,
prettier.js~175290-175290:116351-116627,prettier.js~175290-175290:90853-90920,30,98,40,i.flowParseIntersectionType,i.startNode,benchmarks/prettier.js~175290:6762534-6762549,
prettier.js~492982-493057:1-1,prettier.js~482154-482156:38-1,3474,365,32,printBinaryishExpressions,getParentNode,benchmarks/prettier.js~493036:20473736-20473755,
prettier.js~175290-175290:63049-63266,prettier.js~175290-175290:119502-120748,15766,112,673,i.parseMaybeConditional,i.parseConditional,benchmarks/prettier.js~175290:6709400-6709431,
