SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
buble.js~180485-180557:5-5,buble.js~187049-187091:7-7,2,236,311,reset,wrapper,benchmarks/buble.js~180503:6965108-6965145,
buble.js~188177-188189:5-5,buble.js~193619-193622:5-5,154,78,27,isIterateeCall,isObject,benchmarks/buble.js~188178:7213814-7213829,
buble.js~63149-63174:25-1,buble.js~62106-62108:13-1,5,262,36,pp$2.parseBindingList,pp.expect,benchmarks/buble.js~63165:1989205-1989224,
buble.js~194471-194481:33-5,buble.js~184362-184368:5-5,324,166,86,assign,assignValue,benchmarks/buble.js~194478:7408938-7408974,
<builtin>~1-1:1-1,buble.js~335416-335488:59-3,1416,31,286,Array.prototype.forEach,:anonymous,<builtin>~1:0,
buble.js~181134-181164:5-5,buble.js~179456-179464:5-5,2,218,116,run,Event,benchmarks/buble.js~181136:6987472-6987485,
buble.js~336623-336678:38-2,<builtin>~1-1:1-1,12,483,52,transpile,Array.prototype.join,benchmarks/buble.js~336633:14342457-14342478,
buble.js~180825-180828:7-7,lodash.templateSources[77]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/buble.js~180827:6977092-6977168,
buble.js~65289-65304:33-1,buble.js~65381-65392:30-1,48,128,82,pp$9.regexp_eatCapturingGroup,pp$9.regexp_groupSpecifier,benchmarks/buble.js~65292:2054410-2054442,
buble.js~343773-343887:1-1,buble.js~343773-343887:1-1,6,8,80,Mappings,Mappings,benchmarks/buble.js~343773-343887:14538146-14540714,
buble.js~334432-334446:29-1,buble.js~336975-337041:44-2,540,142,265,initialise,initialise,benchmarks/buble.js~334443:14281829-14281856,
buble.js~65307-65317:31-1,buble.js~65320-65325:42-1,1041,128,40,pp$9.regexp_eatExtendedAtom,pp$9.regexp_eatInvalidBracedQuantifier,benchmarks/buble.js~65314:2055091-2055135,
buble.js~66295-66367:25-1,buble.js~66182-66190:20-1,9026,783,77,pp$8.getTokenFromCode,pp$8.finishToken,benchmarks/buble.js~66310:2084072-2084101,
<builtin>~1-1:1-1,/\b(__p \+=) '' \+/g~1-1:1-20,77,95,11,RegExp.prototype.exec,regex TRegex fwd: /\b(__p \+=) '' \+/g,<builtin>~1:0,
buble.js~62186-62199:14-1,buble.js~61552-61562:1-1,5072,244,116,pp$1.isLet,isIdentifierChar,benchmarks/buble.js~62194:1955519-1955568,
buble.js~336582-336621:39-2,<builtin>~1-1:1-1,822,221,68,initialise,Object.create,benchmarks/buble.js~336590:14341253-14341271,
buble.js~334472-334476:1-1,buble.js~334483-334489:17-2,78,54,48,extractNames,ObjectPattern,benchmarks/buble.js~334474:14282537-14282570,
buble.js~184362-184368:5-5,<builtin>~1-1:1-1,1184,86,12,assignValue,Function.prototype.call,benchmarks/buble.js~184364:7085767-7085798,
buble.js~63973-64001:20-1,buble.js~62144-62149:37-1,276,292,62,pp$3.parseMethod,pp.checkYieldAwaitInDefaultParams,benchmarks/buble.js~63992:2020877-2020913,
buble.js~62186-62199:14-1,buble.js~62052-62054:19-1,24663,244,42,pp$1.isLet,pp.isContextual,benchmarks/buble.js~62187:1955168-1955191,
<builtin>~1-1:1-1,buble.js~335330-335333:36-3,78,32,37,Array.prototype.forEach,:anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,/(?:For(?:In|Of)?|While)Statem...~1-1:1-34,31116,95,9,RegExp.prototype.exec,regex TRegex fwd: /(?:For(?:In|Of)?|While)Statem...,<builtin>~1:0,
buble.js~334575-334583:24-2,<builtin>~1-1:1-1,42288,81,44,consolidateReference,Array.prototype.push,benchmarks/buble.js~334578:14285652-14285689,
buble.js~334441-334441:18-80,buble.js~335985-336001:40-2,234,31,114,:anonymous,initialise,benchmarks/buble.js~334441:14281742-14281768,
buble.js~343737-343771:1-1,<builtin>~1-1:1-1,6,53,9,getLocator,String.prototype.split,benchmarks/buble.js~343738:14537449-14537468,
buble.js~63800-63818:22-1,<builtin>~1-1:1-1,513,250,44,pp$3.parseTemplate,Array.prototype.push,benchmarks/buble.js~63812:2013839-2013885,
buble.js~63898-63943:27-1,buble.js~63973-64001:20-1,161,585,292,pp$3.parsePropertyValue,pp$3.parseMethod,benchmarks/buble.js~63909:2017837-2017874,
<builtin>~1-1:1-1,/(?:\s|\/\/.*|\/\*[^]*?\*\/)*/...~1-1:1-31,1044,93,11,RegExp.prototype.exec,regex TRegex fwd: /(?:\s|\/\/.*|\/\*[^]*?\*\/)*/...,<builtin>~1:0,
<function>~1-7:2-1,buble.js~333533-333537:3-3,1,133,22,anonymous,fn,<function>~5:436-468,
buble.js~334752-334765:1-1,<builtin>~1-1:1-1,312,45,44,destructureIdentifier,Array.prototype.push,benchmarks/buble.js~334761-334764:14289740-14289966,
buble.js~180825-180828:7-7,lodash.templateSources[94]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/buble.js~180827:6977092-6977168,
buble.js~193208-193210:5-5,buble.js~193523-193531:5-5,2,42,61,isArrayLike,isFunction,benchmarks/buble.js~193209:7374897-7374913,
buble.js~64440-64443:30-1,buble.js~64384-64403:21-1,8509,64,251,updateContext,pp$7.braceIsBlock,benchmarks/buble.js~64441:2035953-2035979,
buble.js~180217-180224:20-9,buble.js~180243-180263:5-5,1,59,249,onCycle,emit,benchmarks/buble.js~180222:6956654-6956670,
buble.js~63973-64001:20-1,buble.js~64033-64072:26-1,276,292,342,pp$3.parseMethod,pp$3.parseFunctionBody,benchmarks/buble.js~63993:2020918-2020952,
buble.js~334465-334465:18-85,buble.js~335962-335971:39-2,48,29,52,:anonymous,transpile,benchmarks/buble.js~334465:14282351-14282382,
<builtin>~1-1:1-1,lodash.templateSources[72]~1-15:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
buble.js~334585-334590:12-2,buble.js~334585-334590:12-2,204,56,56,contains,contains,benchmarks/buble.js~334588:14285914-14285939,
buble.js~180825-180828:7-7,lodash.templateSources[41]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/buble.js~180827:6977092-6977168,
buble.js~62586-62597:17-1,buble.js~63353-63365:24-1,379,237,120,pp$1.parseFor,pp$3.parseExpression,benchmarks/buble.js~62589:1969757-1969778,
buble.js~342892-342909:42-2,<builtin>~1-1:1-1,618,153,12,initialise,Function.prototype.call,benchmarks/buble.js~342908:14516565-14516615,
buble.js~334424-334426:28-1,buble.js~335168-335172:39-2,56796,30,38,findScope,findScope,benchmarks/buble.js~334425:14281317-14281352,
buble.js~64469-64475:33-1,<builtin>~1-1:1-1,582,79,44,updateContext,Array.prototype.push,benchmarks/buble.js~64473:2037058-2037090,
buble.js~65143-65146:27-1,buble.js~65149-65169:23-1,1297,49,113,pp$9.regexp_alternative,pp$9.regexp_eatTerm,benchmarks/buble.js~65144:2050234-2050259,
buble.js~334465-334465:18-85,buble.js~335929-335936:41-2,360,29,92,:anonymous,transpile,benchmarks/buble.js~334465:14282351-14282382,
buble.js~65172-65207:28-1,buble.js~65033-65039:39-1,1214,244,48,pp$9.regexp_eatAssertion,eat,benchmarks/buble.js~65190:2051465-2051487,
buble.js~342536-342547:40-2,buble.js~336003-336084:39-2,294,125,470,transpile,transpile,benchmarks/buble.js~342542:14505782-14505822,
buble.js~180825-180828:7-7,lodash.templateSources[69]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/buble.js~180827:6977092-6977168,
buble.js~343686-343710:1-1,<builtin>~1-1:1-1,6,155,51,guessIndent,Array.prototype.join,benchmarks/buble.js~343709:14536838-14536869,
buble.js~184511-184591:5-5,buble.js~182388-182398:3-3,48,499,59,baseClone,arrayEach,benchmarks/buble.js~184582-184589:7092653-7092971,
buble.js~179909-179951:7-7,buble.js~179956-179961:7-7,2,207,92,getNext,isAsync,benchmarks/buble.js~179927:6948017-6948030,
buble.js~337116-337142:36-2,buble.js~335174-335180:47-2,6,226,31,initialise,getArgumentsAlias,benchmarks/buble.js~337136:14357644-14357678,
buble.js~181025-181116:5-5,buble.js~180610-180702:15-7,2,556,519,cycle,clock,benchmarks/buble.js~181048:6984739-6984750,
buble.js~334536-334553:18-2,buble.js~334472-334476:1-1,10806,107,26,addDeclaration,extractNames,benchmarks/buble.js~334539:14284472-14284489,
<builtin>~1-1:1-1,lodash.templateSources[59]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,lodash.templateSources[77]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
buble.js~62393-62400:25-1,buble.js~66028-66037:13-1,4025,170,92,pp$1.parseIfStatement,pp$8.next,benchmarks/buble.js~62394:1963242-1963252,
buble.js~334456-334470:28-1,buble.js~335596-335640:40-2,222,157,293,transpile,transpile,benchmarks/buble.js~334467:14282443-14282475,
buble.js~342813-342834:20-4,buble.js~343949-343963:14-2,210,182,86,:anonymous,appendLeft,benchmarks/buble.js~342830:14514407-14514436,
buble.js~180825-180828:7-7,lodash.templateSources[31]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/buble.js~180827:6977092-6977168,
buble.js~180485-180557:5-5,buble.js~194889-194891:5-5,8,238,37,reset,forOwn,benchmarks/buble.js~180507-180545:6965203-6966739,
buble.js~196646-196752:5-5,<builtin>~1-1:1-1,77,458,29,template,RegExp,benchmarks/buble.js~196669-196674:7477494-7477737,
buble.js~62727-62739:23-3,buble.js~64327-64329:20-1,5,183,29,tryContextual,pp$6.startNodeAt,benchmarks/buble.js~62735:1974798-1974832,
buble.js~343808-343844:26-2,<builtin>~1-1:1-1,210132,149,44,this.addUneditedChunk,Array.prototype.push,benchmarks/buble.js~343814-343820:14539083-14539191,
buble.js~62493-62498:26-1,buble.js~62622-62643:17-1,3689,78,289,pp$1.parseVarStatement,pp$1.parseVar,benchmarks/buble.js~62495:1966711-1966742,
buble.js~334432-334446:29-1,buble.js~342853-342869:40-2,1194,142,132,initialise,initialise,benchmarks/buble.js~334443:14281829-14281856,
buble.js~336380-336442:41-2,buble.js~344207-344268:13-2,24,429,385,transpile,overwrite,benchmarks/buble.js~336422:14335850-14335890,
buble.js~180825-180828:7-7,lodash.templateSources[35]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/buble.js~180827:6977092-6977168,
buble.js~334441-334441:18-80,buble.js~335574-335594:41-2,36,27,137,:anonymous,initialise,benchmarks/buble.js~334441:14281742-14281768,
buble.js~335247-335250:34-4,buble.js~343949-343963:14-2,6,50,88,:anonymous,appendLeft,benchmarks/buble.js~335249:14301461-14301494,
<builtin>~1-1:1-1,lodash.templateSources[98]~1-21:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
buble.js~180930-181003:7-7,<builtin>~1-1:1-1,3,362,44,evaluate,Array.prototype.push,benchmarks/buble.js~180942:6980854-6980884,
buble.js~334592-334615:20-2,<builtin>~1-1:1-1,1554,180,18,createIdentifier,String.prototype.replace,benchmarks/buble.js~334595-334599:14286083-14286207,
buble.js~334563-334573:15-2,buble.js~334575-334583:24-2,92160,64,59,consolidate,consolidateReference,benchmarks/buble.js~334569:14285372-14285410,
<builtin>~1-1:1-1,buble.js~342934-342934:29-95,4764,31,18,Array.prototype.forEach,:anonymous,<builtin>~1:0,
buble.js~183074-183076:12-5,<builtin>~1-1:1-1,64,31,9,:anonymous,Object.getPrototypeOf,benchmarks/buble.js~183075:7046205-7046224,
buble.js~63464-63502:24-1,buble.js~62072-62076:25-1,393,482,77,pp$3.parseMaybeUnary,pp.canInsertSemicolon,benchmarks/buble.js~63487:2001550-2001574,
buble.js~180507-180545:31-9,<builtin>~1-1:1-1,96,282,22,:anonymous,RegExp.prototype.test,benchmarks/buble.js~180513:6965441-6965472,
buble.js~334441-334441:18-80,buble.js~334432-334446:29-1,4662,27,142,:anonymous,initialise,benchmarks/buble.js~334441:14281742-14281768,
buble.js~343155-343209:1-1,buble.js~343155-343209:1-1,46950,465,465,wrap,wrap,benchmarks/buble.js~343160:14524046-14524065,
buble.js~65525-65535:34-1,buble.js~65546-65553:23-1,21,124,57,pp$9.regexp_eatCharacterEscape,pp$9.regexp_eatZero,benchmarks/buble.js~65529:2061051-2061076,
buble.js~63149-63174:25-1,buble.js~62041-62048:10-1,5558,262,39,pp$2.parseBindingList,pp.eat,benchmarks/buble.js~63153:1988667-1988681,
buble.js~62342-62386:26-1,buble.js~62106-62108:13-1,584,642,36,pp$1.parseForStatement,pp.expect,benchmarks/buble.js~62347:1961411-1961435,
buble.js~334432-334446:29-1,buble.js~337165-337167:37-2,390,153,37,initialise,initialise,benchmarks/buble.js~334443:14281829-14281856,
<builtin>~1-1:1-1,buble.js~197123-197129:28-5,77,12,53,Function.prototype.call,attempt,<builtin>~1:0,
