SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
<builtin>~1-1:1-1,lodash.templateSources[83]~1-15:2-1,1,29,11,Function.prototype.apply,anonymous,<builtin>~1:0,
<builtin>~1-1:1-1,lebab.js~178706-178712:22-1,1,29,22,Function.prototype.apply,:=>,<builtin>~1:0,
lebab.js~65033-65039:39-1,lebab.js~65021-65023:43-1,4125,40,23,eat,current,benchmarks/lebab.js~65034:2047008-2047021,
lebab.js~155070-155074:5-5,lebab.js~154473-154473:1-153,275,64,44,BlockScope,_classCallCheck,benchmarks/lebab.js~155071:5761592-5761624,
lebab.js~389185-389187:3-3,lebab.js~389179-389179:1-153,6,18,40,RequireUtilInheritsDetector,_classCallCheck,benchmarks/lebab.js~389186:16463487-16463536,
lebab.js~179456-179464:5-5,lebab.js~179456-179464:5-5,17,8,104,Event,Event,benchmarks/lebab.js~179456-179464:6932610-6932893,
lebab.js~150981-150984:5-5,lebab.js~19675-19677:1-1,1080,44,27,pushSlice,ok,benchmarks/lebab.js~150982:5627733-5627768,
lebab.js~64460-64467:62-1,lebab.js~66063-66065:19-1,15,124,32,updateContext,pp$8.curContext,benchmarks/lebab.js~64462:2036764-2036780,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,1785,176,97,RegExp.prototype.[Symbol.replace],RegExp.prototype.exec,<builtin>~1:0,
lebab.js~62602-62618:19-1,lebab.js~64271-64276:25-1,35,223,67,pp$1.parseForIn,pp$5.exitLexicalScope,benchmarks/lebab.js~62614:1970739-1970761,
lebab.js~384919-384968:1-1,lebab.js~34141-34143:18-1,564,200,20,genericPrint,exports.concat,benchmarks/lebab.js~384967:16273533-16273545,
lebab.js~151268-151338:1-1,<builtin>~1-1:1-1,20616,302,29,findObjectReprints,Function.prototype.apply,benchmarks/lebab.js~151299:5636759-5636802,
lebab.js~180507-180545:31-9,lebab.js~193060-193062:5-5,78,250,35,:anonymous,eq,benchmarks/lebab.js~180542:6966583-6966604,
lebab.js~180709-180771:7-7,lebab.js~188445-188461:14-7,7,429,143,createCompiled,:anonymous,benchmarks/lebab.js~180715-180720:6973465-6973789,
lebab.js~387077-387079:97-240,lebab.js~387129-387129:415-486,10821,704,44,Mt,Pn.delete,benchmarks/lebab.js~387079:16350123-16350133,
lebab.js~387181-387182:22-130,lebab.js~387183-387183:400-455,624,291,26,Un.value,An.value,benchmarks/lebab.js~387181:16403389-16403412,
<builtin>~1-1:1-1,lebab.js~34077-34114:3-3,5118,32,192,Array.prototype.forEach,appendSecret,<builtin>~1:0,
lebab.js~180825-180828:7-7,lodash.templateSources[24]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/lebab.js~180827:6977092-6977168,
lebab.js~389822-389845:1-1,lebab.js~7617-7635:1-1,18784,125,41,matchBoundFunction,isAstMatch,benchmarks/lebab.js~389823-389844:16482621-16483157,
lebab.js~62992-62996:31-1,lebab.js~62997-63005:29-1,170,90,119,pp$1.adaptDirectivePrologue,pp$1.isDirectiveCandidate,benchmarks/lebab.js~62993:1983688-1983727,
lebab.js~390601-390603:12-5,lebab.js~390263-390265:12-5,10140,22,15,getScope,getScope,benchmarks/lebab.js~390602:16508344-16508371,
lebab.js~386622-386658:1-1,lebab.js~18109-18115:17-5,24,188,50,printFunctionParams,Tp.assert,benchmarks/lebab.js~386625:16319558-16319588,
lebab.js~180825-180828:7-7,lodash.templateSources[47]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/lebab.js~180827:6977092-6977168,
lebab.js~194471-194481:33-5,<builtin>~1-1:1-1,417,148,43,assign,%ForInIteratorPrototype%.next,benchmarks/lebab.js~194476-194480:7408854-7408993,
