SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
espree.js~180825-180828:7-7,lodash.templateSources[59]~4-12:8-1,1,75,52,interpolate,:anonymous,benchmarks/espree.js~180827:6977092-6977168,
<builtin>~1-1:1-1,lodash.templateSources[82]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~65795-65806:33-1,espree.js~65033-65039:39-1,15778,65,40,pp$9.regexp_eatCharacterClass,eat,benchmarks/espree.js~65796:2068453-2068475,
espree.js~62416-62456:29-1,espree.js~63669-63674:29-1,83,353,50,pp$1.parseSwitchStatement,pp$3.parseParenExpression,benchmarks/espree.js~62420:1964284-1964310,
espree.js~62622-62643:17-1,espree.js~62645-62648:19-1,12347,244,51,pp$1.parseVar,pp$1.parseVarId,benchmarks/espree.js~62629:1971077-1971105,
<builtin>~1-1:1-1,lodash.templateSources[58]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~142316-142321:42-9,espree.js~142272-142294:1-1,1185031,34,132,:anonymous,isValidToken,benchmarks/espree.js~142317:5286163-5286180,
espree.js~187049-187091:7-7,<builtin>~1-1:1-1,52,283,27,wrapper,Function.prototype.apply,benchmarks/espree.js~187090:7176697-7176723,
espree.js~62000-62002:27-1,espree.js~142351-142378:37-5,46,51,13,extend,:anonymous,benchmarks/espree.js~62001:1949606-1949618,
<builtin>~1-1:1-1,lodash.templateSources[72]~1-15:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~196740-196743:28-7,lodash.templateSources[94]~1-15:1-2,1,51,10,result,:program,benchmarks/espree.js~196741:7480055-7480107,
espree.js~62471-62491:26-1,espree.js~62562-62580:19-1,288,223,133,pp$1.parseTryStatement,pp$1.parseBlock,benchmarks/espree.js~62483:1966300-1966321,
espree.js~65307-65317:31-1,espree.js~65360-65376:43-1,13530,88,81,pp$9.regexp_eatExtendedAtom,pp$9.regexp_eatExtendedPatternCharacter,benchmarks/espree.js~65315:2055144-2055189,
espree.js~65830-65856:28-1,espree.js~65029-65031:43-1,1654,115,28,pp$9.regexp_eatClassAtom,advance,benchmarks/espree.js~65851:2070180-2070194,
<function>~1-7:2-1,espree.js~367127-367134:3-3,1,117,17,anonymous,fn,<function>~5:436-468,
espree.js~196740-196743:28-7,lodash.templateSources[58]~1-13:1-2,1,51,10,result,:program,benchmarks/espree.js~196741:7480055-7480107,
espree.js~63149-63174:25-1,espree.js~62041-62048:10-1,21298,183,33,pp$2.parseBindingList,pp.eat,benchmarks/espree.js~63153:1988667-1988681,
espree.js~66098-66116:25-1,<builtin>~1-1:1-1,9264,182,97,pp$8.skipBlockComment,RegExp.prototype.exec,benchmarks/espree.js~66108:2077250-2077276,
<function>~1-7:2-1,<builtin>~1-1:1-1,1,105,6,anonymous,Date.now,<function>~5:341-361,
<builtin>~1-1:1-1,espree.js~64456-64458:30-1,3206,12,7,Function.prototype.call,updateContext,<builtin>~1:0,
espree.js~62471-62491:26-1,espree.js~64323-64325:18-1,288,181,28,pp$1.parseTryStatement,pp$6.startNode,benchmarks/espree.js~62476:1966070-1966085,
espree.js~63828-63845:17-1,espree.js~142303-142306:38-5,3294,163,48,pp$3.parseObj,:anonymous,benchmarks/espree.js~63844:2015095-2015165,
espree.js~180930-181003:7-7,espree.js~191554-191559:5-5,3,302,100,evaluate,reduce,benchmarks/espree.js~180956:6981507-6981532,
<builtin>~1-1:1-1,espree.js~181134-181164:5-5,4,27,192,Function.prototype.apply,run,<builtin>~1:0,
espree.js~63828-63845:17-1,espree.js~64323-64325:18-1,3293,163,28,pp$3.parseObj,pp$6.startNode,benchmarks/espree.js~63831:2014625-2014640,
espree.js~62653-62688:22-1,espree.js~142303-142306:38-5,9036,297,48,pp$1.parseFunction,:anonymous,benchmarks/espree.js~62687:1973123-1973203,
espree.js~179017-179020:12-3,<builtin>~1-1:1-1,6,74,19,onCycle,Date.prototype.[Symbol.toPrimitive],benchmarks/espree.js~179018:6918046-6918067,
espree.js~188445-188461:14-7,<builtin>~1-1:1-1,275,143,10,:anonymous,Math.max,benchmarks/espree.js~188448:7222664-7222696,
espree.js~196740-196743:28-7,lodash.templateSources[86]~1-13:1-2,1,51,10,result,:program,benchmarks/espree.js~196741:7480055-7480107,
<function>~1-7:2-1,espree.js~197631-197633:5-5,1,101,7,anonymous,noop,<function>~4:301-323,
espree.js~184948-184951:5-5,<builtin>~1-1:1-1,32,41,16,baseGetAllKeys,Array.isArray,benchmarks/espree.js~184950:7105039-7105053,
espree.js~142353-142376:42-9,<builtin>~1-1:1-1,14947,115,12,:anonymous,Function.prototype.call,benchmarks/espree.js~142374:5288284-5288347,
espree.js~62522-62550:30-1,espree.js~62223-62286:23-1,36,269,603,pp$1.parseLabeledStatement,pp$1.parseStatement,benchmarks/espree.js~62542:1968245-1968269,
<builtin>~1-1:1-1,lodash.templateSources[22]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~62393-62400:25-1,espree.js~62223-62286:23-1,9795,146,583,pp$1.parseIfStatement,pp$1.parseStatement,benchmarks/espree.js~62397:1963392-1963456,
espree.js~62000-62002:27-1,espree.js~142423-142438:39-5,46,51,13,extend,:anonymous,benchmarks/espree.js~62001:1949606-1949618,
espree.js~179456-179464:5-5,espree.js~179456-179464:5-5,17,8,104,Event,Event,benchmarks/espree.js~179456-179464:6932610-6932893,
espree.js~179456-179464:5-5,<builtin>~1-1:1-1,46,104,18,Event,Function.prototype.[Symbol.hasInstance],benchmarks/espree.js~179458:6932667-6932687,
espree.js~62493-62498:26-1,espree.js~142316-142321:42-9,6391,54,34,pp$1.parseVarStatement,:anonymous,benchmarks/espree.js~62494:1966696-1966706,
<builtin>~1-1:1-1,lodash.templateSources[84]~1-13:2-1,1,27,11,Function.prototype.apply,anonymous,<builtin>~1:0,
espree.js~180709-180771:7-7,espree.js~180825-180828:7-7,7,429,75,createCompiled,interpolate,benchmarks/espree.js~180744:6974552-6974577,
espree.js~65149-65169:23-1,espree.js~65172-65207:28-1,18949,89,182,pp$9.regexp_eatTerm,pp$9.regexp_eatAssertion,benchmarks/espree.js~65150:2050390-2050420,
espree.js~65275-65288:35-1,espree.js~65033-65039:39-1,14767,80,40,pp$9.regexp_eatUncapturingGroup,eat,benchmarks/espree.js~65277:2053996-2054018,
espree.js~63567-63659:22-1,espree.js~64323-64325:18-1,1914,841,28,pp$3.parseExprAtom,pp$6.startNode,benchmarks/espree.js~63634:2007958-2007973,
espree.js~180243-180263:5-5,espree.js~179456-179464:5-5,16,221,104,emit,Event,benchmarks/espree.js~180246:6957387-6957397,
espree.js~142316-142321:42-9,<builtin>~1-1:1-1,1185031,34,12,:anonymous,Function.prototype.call,benchmarks/espree.js~142320:5286253-5286267,
espree.js~180709-180771:7-7,espree.js~188445-188461:14-7,7,429,143,createCompiled,:anonymous,benchmarks/espree.js~180743-180746:6974506-6974646,
espree.js~61913-61994:14-1,espree.js~62025-62036:22-1,46,751,143,Parser,pp.strictDirective,benchmarks/espree.js~61972:1948481-1948510,
espree.js~65221-65228:35-1,espree.js~65033-65039:39-1,16539,58,40,pp$9.regexp_eatQuantifierPrefix,eat,benchmarks/espree.js~65225:2052457-2052479,
espree.js~142272-142294:1-1,<builtin>~1-1:1-1,768,132,18,isValidToken,String.prototype.indexOf,benchmarks/espree.js~142285:5285316-5285346,
espree.js~65172-65207:28-1,espree.js~65033-65039:39-1,504,190,40,pp$9.regexp_eatAssertion,eat,benchmarks/espree.js~65195:2051646-2051668,
espree.js~181025-181116:5-5,espree.js~179456-179464:5-5,3,442,104,cycle,Event,benchmarks/espree.js~181090:6986258-6986271,
espree.js~142219-142264:1-1,espree.js~142193-142210:1-1,433445,257,102,esprimaFinishNode,isValidNode,benchmarks/espree.js~142221:5283411-5283429,
espree.js~196646-196752:5-5,<builtin>~1-1:1-1,77,641,18,template,String.prototype.replace,benchmarks/espree.js~196683-196706:7477984-7478967,
espree.js~179677-179679:5-5,espree.js~194011-194014:5-5,2,43,47,isStringable,isString,benchmarks/espree.js~179678:6939582-6939598,
espree.js~195034-195036:5-5,espree.js~188016-188036:5-5,94,27,145,has,hasPath,benchmarks/espree.js~195035:7425729-7425758,
espree.js~62342-62386:26-1,espree.js~64263-64269:26-1,1446,506,98,pp$1.parseForStatement,pp$5.enterLexicalScope,benchmarks/espree.js~62346:1961383-1961406,
<builtin>~1-1:1-1,espree.js~180610-180702:15-7,1,27,493,Function.prototype.apply,clock,<builtin>~1:0,
