SourceLocation,TargetLocation,Count,rootSize,targetSize,sourceNode,targetNode,CallLocation,
esprima.js~146272-146288:41-6,esprima.js~145135-145137:31-6,58,183,40,Parser.parseExpression,Parser.match,benchmarks/esprima.js~146279:5454705-5454719,
esprima.js~180825-180828:7-7,<builtin>~1-1:1-1,77,93,18,interpolate,String.prototype.replace,benchmarks/esprima.js~180827:6977103-6977153,
esprima.js~179736-179747:25-7,esprima.js~195034-195036:5-5,38,128,31,:anonymous,has,benchmarks/esprima.js~179743:6942059-6942076,
esprima.js~146023-146070:47-6,esprima.js~145056-145062:35-6,16174,532,56,Parser.parseBinaryExpression,Parser.startNode,benchmarks/esprima.js~146063:5444323-5444351,
esprima.js~145889-145919:53-6,esprima.js~145063-145098:34-6,125,330,208,Parser.parseLeftHandSideExpression,Parser.finalize,benchmarks/esprima.js~145908:5436734-5436801,
esprima.js~147292-147352:49-6,esprima.js~145049-145055:36-6,8526,488,54,Parser.parseFunctionExpression,Parser.createNode,benchmarks/esprima.js~147293:5498816-5498832,
esprima.js~145447-145531:45-6,esprima.js~145135-145137:31-6,984,643,38,Parser.parseObjectProperty,Parser.match,benchmarks/esprima.js~145469:5417279-5417293,
esprima.js~194547-194549:39-5,esprima.js~195209-195211:5-5,231,39,38,assignInWith,keysIn,benchmarks/esprima.js~194548:7411068-7411081,
esprima.js~145737-145756:40-6,esprima.js~145135-145137:31-6,34599,155,38,Parser.parseArguments,Parser.match,benchmarks/esprima.js~145742:5429325-5429341,
esprima.js~147231-147291:50-6,esprima.js~148326-148328:43-6,468,401,16,Parser.parseFunctionDeclaration,Scanner.isRestrictedWord,benchmarks/esprima.js~147249:5496613-5496654,
esprima.js~181134-181164:5-5,esprima.js~179456-179464:5-5,2,218,116,run,Event,benchmarks/esprima.js~181136:6987472-6987485,
<builtin>~1-1:1-1,<builtin>~1-1:1-1,431,150,15,RegExp.prototype.[Symbol.replace],RegExp.prototype.get unicode,<builtin>~1:0,
esprima.js~147007-147017:43-6,esprima.js~145063-145098:34-6,288,153,208,Parser.parseTryStatement,Parser.finalize,benchmarks/esprima.js~147016:5486856-5486924,
esprima.js~145241-145334:48-6,esprima.js~145011-145034:35-6,95405,928,300,Parser.parsePrimaryExpression,Parser.nextToken,benchmarks/esprima.js~145250:5407317-5407332,
esprima.js~184378-184386:5-5,esprima.js~193060-193062:5-5,78,58,28,assocIndexOf,eq,benchmarks/esprima.js~184381:7086343-7086367,
esprima.js~180825-180828:7-7,lodash.templateSources[95]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/esprima.js~180827:6977092-6977168,
esprima.js~145342-145369:47-6,esprima.js~145135-145137:31-6,3098,246,38,Parser.parseArrayInitializer,Parser.match,benchmarks/esprima.js~145362:5412558-5412572,
esprima.js~184511-184591:5-5,esprima.js~193619-193622:5-5,102,499,27,baseClone,isObject,benchmarks/esprima.js~184523:7090916-7090930,
<builtin>~1-1:1-1,lodash.templateSources[37]~1-13:2-1,1,27,13,Function.prototype.apply,anonymous,<builtin>~1:0,
esprima.js~144206-144209:6-6,esprima.js~144206-144209:6-6,312,8,27,BreakStatement,BreakStatement,benchmarks/esprima.js~144206-144209:5368853-5368973,
esprima.js~147007-147017:43-6,esprima.js~145049-145055:36-6,288,109,54,Parser.parseTryStatement,Parser.createNode,benchmarks/esprima.js~147008:5486453-5486469,
esprima.js~180610-180702:15-7,<builtin>~1-1:1-1,3,517,12,clock,Function.prototype.call,benchmarks/esprima.js~180699:6972968-6973015,
esprima.js~180825-180828:7-7,lodash.templateSources[36]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/esprima.js~180827:6977092-6977168,
esprima.js~180825-180828:7-7,lodash.templateSources[61]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/esprima.js~180827:6977092-6977168,
esprima.js~144270-144275:6-6,esprima.js~144270-144275:6-6,2601,8,75,ConditionalExpression,ConditionalExpression,benchmarks/esprima.js~144270-144275:5370869-5371099,
esprima.js~186732-186754:23-7,esprima.js~188177-188189:5-5,154,163,78,:anonymous,isIterateeCall,benchmarks/esprima.js~186742:7164564-7164608,
esprima.js~186794-186807:14-7,esprima.js~180416-180420:23-7,38,97,41,:anonymous,:anonymous,benchmarks/esprima.js~186802:7166443-7166480,
esprima.js~185332-185334:5-5,esprima.js~193648-193650:5-5,48,35,25,baseIsSet,isObjectLike,benchmarks/esprima.js~185333:7118371-7118389,
esprima.js~146657-146802:43-6,esprima.js~145128-145133:39-6,1455,1353,53,Parser.parseForStatement,Parser.expectKeyword,benchmarks/esprima.js~146664:5470958-5470982,
esprima.js~188064-188068:5-5,esprima.js~183561-183572:14-7,30,51,64,initCloneObject,:anonymous,benchmarks/esprima.js~188066:7210225-7210256,
esprima.js~147135-147168:39-6,<builtin>~1-1:1-1,7337,296,12,Parser.validateParam,Function.prototype.call,benchmarks/esprima.js~147156:5492999-5493057,
esprima.js~180825-180828:7-7,lodash.templateSources[63]~4-14:8-1,1,93,93,interpolate,:anonymous,benchmarks/esprima.js~180827:6977092-6977168,
esprima.js~196646-196752:5-5,<builtin>~1-1:1-1,77,458,29,template,RegExp,benchmarks/esprima.js~196669-196674:7477494-7477737,
esprima.js~180825-180828:7-7,lodash.templateSources[23]~4-12:8-1,1,93,47,interpolate,:anonymous,benchmarks/esprima.js~180827:6977092-6977168,
esprima.js~188445-188461:14-7,<builtin>~1-1:1-1,275,163,11,:anonymous,Array,benchmarks/esprima.js~188455:7222870-7222885,
esprima.js~143091-143114:2-2,<builtin>~1-1:1-1,591941,120,43,tokenize,Array.prototype.push,benchmarks/esprima.js~143104:5312282-5312299,
<builtin>~1-1:1-1,/(__e\(.*?\)|\b__t\)) \+\n'';/...~1-1:1-31,77,93,11,RegExp.prototype.exec,regex TRegex fwd: /(__e\(.*?\)|\b__t\)) \+\n'';/...,<builtin>~1:0,
esprima.js~147026-147108:40-6,esprima.js~146573-146577:45-6,54,414,41,Parser.parseStatement,Parser.parseEmptyStatement,benchmarks/esprima.js~147046:5488191-5488216,
